# R(kpc)    v_z(km/s)    err_vz(km/s)
# 
2637.17    275.0    50.0
680.57    1050.2    50.0
1993.00    1138.4    50.0
2751.27    -1164.1    50.0
3092.54    540.1    50.0
1310.62    514.7    50.0
529.72    92.5    50.0
2604.65    -122.8    50.0
1941.68    703.5    50.0
1286.68    -144.5    50.0
1443.81    1863.1    50.0
288.61    -286.4    50.0
1650.40    566.9    50.0
1077.51    721.1    50.0
1935.41    1273.3    50.0
767.23    165.3    50.0
287.14    382.7    50.0
1880.01    700.1    50.0
964.09    -1202.3    50.0
2437.87    -409.2    50.0
1609.19    -521.6    50.0
5225.26    917.8    50.0
435.05    1652.1    50.0
285.29    1124.1    50.0
1558.57    -896.6    50.0
531.21    -646.7    50.0
589.36    449.8    50.0
168.07    -2310.4    50.0
1061.75    845.0    50.0
179.42    2404.7    50.0
1050.09    -439.4    50.0
6528.48    61.6    50.0
1287.27    -301.9    50.0
1512.28    935.0    50.0
2978.30    -452.9    50.0
5333.29    -316.6    50.0
983.21    715.0    50.0
1908.74    -45.5    50.0
1464.45    274.0    50.0
120.04    284.0    50.0
920.28    1441.3    50.0
1406.62    331.2    50.0
2114.55    364.4    50.0
1389.89    -498.0    50.0
2363.62    -1512.5    50.0
1814.04    -1414.5    50.0
652.99    882.9    50.0
1262.10    -942.3    50.0
3436.13    305.1    50.0
1040.42    443.2    50.0
2054.62    775.7    50.0
919.83    -1472.2    50.0
357.39    1876.8    50.0
2004.83    925.6    50.0
368.05    2752.5    50.0
2056.53    -74.4    50.0
1879.06    324.2    50.0
2009.68    1373.7    50.0
2734.32    215.6    50.0
1295.66    615.2    50.0
565.91    2351.5    50.0
68.51    106.0    50.0
2689.18    -1604.3    50.0
1093.16    -380.9    50.0
534.95    -644.5    50.0
1762.86    -653.8    50.0
1511.03    -564.0    50.0
353.24    1801.8    50.0
1433.45    -763.1    50.0
1587.43    473.9    50.0
385.25    1625.2    50.0
518.19    111.7    50.0
538.89    -894.4    50.0
2873.45    -800.9    50.0
1173.77    663.0    50.0
89.73    1412.6    50.0
2106.59    488.6    50.0
1007.38    -2062.0    50.0
317.38    690.9    50.0
428.84    -1806.3    50.0
2426.74    1184.8    50.0
1402.75    354.6    50.0
3077.60    305.7    50.0
1841.45    617.5    50.0
1035.05    -1830.4    50.0
604.39    616.9    50.0
1703.69    -710.1    50.0
2092.15    526.9    50.0
2215.67    -2062.3    50.0
292.98    493.0    50.0
461.70    1186.9    50.0
813.38    1173.0    50.0
396.28    -15.1    50.0
1358.26    -168.8    50.0
896.77    701.3    50.0
927.13    -1094.8    50.0
2213.10    -295.1    50.0
588.27    -1383.6    50.0
1758.28    -276.0    50.0
698.12    1109.7    50.0
3355.23    734.8    50.0
895.34    -388.1    50.0
1035.00    364.5    50.0
101.86    1380.3    50.0
2029.31    874.9    50.0
2444.84    1571.1    50.0
3545.32    -1239.2    50.0
2224.86    -1271.9    50.0
1875.79    -9.2    50.0
2490.21    310.2    50.0
170.87    -561.6    50.0
548.17    -108.6    50.0
703.44    403.5    50.0
1935.80    894.8    50.0
877.97    -143.5    50.0
2679.88    905.3    50.0
342.81    1521.1    50.0
467.74    1410.1    50.0
2176.00    529.0    50.0
509.36    933.7    50.0
1400.91    351.9    50.0
862.46    122.8    50.0
1060.43    1276.5    50.0
2781.05    509.6    50.0
882.72    879.1    50.0
942.77    8.0    50.0
984.31    -1070.1    50.0
2231.81    -160.8    50.0
2400.40    -921.8    50.0
2574.86    -105.7    50.0
865.47    1424.1    50.0
749.03    -52.2    50.0
2085.30    427.0    50.0
406.68    678.0    50.0
1186.59    -47.9    50.0
1923.90    1640.9    50.0
556.67    33.3    50.0
1885.31    2119.0    50.0
1013.99    666.6    50.0
1767.03    633.5    50.0
248.14    -612.2    50.0
361.97    904.8    50.0
538.70    -1175.5    50.0
1475.28    394.1    50.0
1041.35    584.7    50.0
1221.60    183.6    50.0
195.54    952.3    50.0
991.63    1140.4    50.0
1627.77    -1040.3    50.0
1960.38    -405.8    50.0
488.91    -1187.5    50.0
402.43    974.8    50.0
1743.29    -613.8    50.0
